Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
5016-1001,5016,1001,56228,32175,56268,32206,1,64,545,0,1720,18.8,0.08,30.74,63.83,323.28,323.28,31,4,0.78,103.2,8,5.02,22.26,33.17,20.46,14.09,63.3,49,0.151571393,0.78,103.2,8,5.02,22.26,33.17,20.46,14.09,63.3,49,15.15713932,206.98,63.3,21.30434783,206.98,63.3,49,206.98,63.3,21.30434783,206.98,63.3,49,2,4,AM,"LineString (56228 32175, 56268 32206)"
7036-1001,7036,1001,56320,32219,56268,32206,1,64,542,0,1720,49.11,3.19,33.68,57.94,844.78,844.78,31,4,0.35,384.71,1.24,62.12,16.39,4.94,266.72,10.36,53.93,40.02,0.047373281,0.35,384.71,1.24,62.12,16.39,4.94,266.72,10.36,53.93,40.02,4.737328062,746.83,53.93,17.4,746.83,53.93,40.02,746.83,53.93,17.4,746.83,53.93,40.02,2,4,AM,"LineString (56320 32219, 56268 32206)"
7036-1002,7036,1002,56320,32219,56332,32221,2,64,121,0.68,2904.83,11.13,8.05,14.86,29.32,323.28,323.28,0,4,0.78,103.2,8,5.02,22.26,33.17,20.46,14.09,63.3,49,0.151571393,0.78,103.2,8,5.02,22.26,33.17,20.46,14.09,63.3,49,15.15713932,206.98,63.3,21.30434783,206.98,63.3,49,206.98,63.3,21.30434783,206.98,63.3,49,2,4,AM,"LineString (56320 32219, 56332 32221)"
7037-1002,7037,1002,56346,32224,56332,32221,2,64,150,3.79,1862.95,54.55,15.5,23.94,22.56,1016.28,1016.28,0,4,0.17,421.23,1.8,80.65,22.15,8.01,342.38,14.66,74.72,46.5,0.045755107,0.17,421.23,1.8,80.65,22.15,8.01,342.38,14.66,74.72,46.5,4.575510686,891.05,74.72,20.2173913,891.05,74.72,46.5,891.05,74.72,20.2173913,891.05,74.72,46.5,2,4,AM,"LineString (56346 32224, 56332 32221)"
4007-1002,4007,1002,56331,32209,56332,32221,1,30,132,2.32,423.07,63.01,42.7,58.54,8.12,266.59,266.59,0,0,1.12,120.8,2.22,8.4,12.12,10.35,42.22,9.03,49.73,10.59,0.039723921,1.12,120.8,2.22,8.4,12.12,10.35,42.22,9.03,49.73,10.59,3.972392063,206.26,49.73,4.604347826,206.26,49.73,10.59,206.26,49.73,4.604347826,206.26,49.73,10.59,0,0,AM,"LineString (56331 32209, 56332 32221)"
7045-1003,7045,1003,56405,32233,56415,32236,1,64,102,0.03,2634.77,15.67,1.53,7.27,50.5,412.95,412.95,0,4,1.43,154.02,9.49,6.14,23.44,40.1,28.33,14.85,90.04,41.09,0.099503572,1.43,154.02,9.49,6.14,23.44,40.1,28.33,14.85,90.04,41.09,9.950357186,277.8,90.04,17.86521739,277.8,90.04,41.09,277.8,90.04,17.86521739,277.8,90.04,41.09,2,4,AM,"LineString (56405 32233, 56415 32236)"
2789-1003,2789,1003,56429,32241,56415,32236,1,64,140,0,1870.43,48.36,1.86,9.74,51.76,904.48,904.48,0,4,0.19,377.58,1.42,73.45,12.45,6.49,316.29,7.7,60.27,44.64,0.049354325,0.19,377.58,1.42,73.45,12.45,6.49,316.29,7.7,60.27,44.64,4.935432514,795.57,60.27,19.40869565,795.57,60.27,44.64,795.57,60.27,19.40869565,795.57,60.27,44.64,2,4,AM,"LineString (56429 32241, 56415 32236)"
7506-1003,7506,1003,56418,32209,56415,32236,1,48,290,0.18,1317.93,18.71,3.58,25.33,41.22,246.58,246.58,0,0,0.47,107.46,1.24,13.78,12.34,7.03,66.59,9.29,26.51,1.86,0.007543191,0.47,107.46,1.24,13.78,12.34,7.03,66.59,9.29,26.51,1.86,0.754319085,218.2,26.51,0.808695652,218.2,26.51,1.86,218.2,26.51,0.808695652,218.2,26.51,1.86,0,0,AM,"LineString (56418 32209, 56415 32236)"
2014-1004,2014,1004,56419,32204,56416,32201,2,48,40,0.02,2971.78,22.28,1.83,4.83,29.8,662.18,662.18,0,4,0.5,333.94,0.8,40.7,5.76,4.58,182.27,6.14,80.93,2.55,0.003850917,0.5,333.94,0.8,40.7,5.76,4.58,182.27,6.14,80.93,2.55,0.385091667,574.69,80.93,1.108695652,574.69,80.93,2.55,574.69,80.93,1.108695652,574.69,80.93,2.55,2,4,AM,"LineString (56419 32204, 56416 32201)"
2120-1004,2120,1004,56392,32169,56416,32201,1,48,394,0,1720,27.11,3.19,32.74,43.33,466.21,466.21,43,8,2.85,152.57,9.84,18.98,32.74,51.97,89.22,23.8,72.28,3.95,0.008472577,2.85,152.57,9.84,18.98,32.74,51.97,89.22,23.8,72.28,3.95,0.847257674,381.97,72.28,1.717391304,381.97,72.28,3.95,381.97,72.28,1.717391304,381.97,72.28,3.95,4,8,AM,"LineString (56392 32169, 56416 32201)"
