0,501,502,504,505,506,509,511,512,513,514,515,516,517,519,520,521,523,524,525,526,527,528,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,551,562,566,567,570,571,572,573,601,602,603,604,605,606,607,608,609,610,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5065,5067,5068,5069,5070,5100,5101,5102,5103,5104,5105,5106,5107,5108,5109,5110,5111,5112,5115,5116,5117,5118,5119,5120,5121,5122,5124,5125,5126,5127,5128,5129,5130,5131,5132,5133,5134,5135,5136,5137,5138,5139,5140,5141,5142,5143,6030,6140,6141,6148,6200,6201,6202,6203,6204,6205,6206,6207,6208,6210,6211,6500,6501,6502,6503,6504,6505,6506,9001,9002,9003,9004,9005,9006,9007,9008,9009
501,0.01,0.06,0.33,0.26,0.04,0.01,0.01,0.05,0.04,0.05,0.04,0.38,0.07,0.03,0.09,0.07,0.03,0.0,0.05,0.13,0.03,0.01,0.05,0.02,0.03,0.02,0.0,0.03,0.08,0.02,0.03,0.01,0.05,0.0,0.0,0.08,0.06,0.35,0.0,0.17,0.0,0.03,0.02,0.14,0.12,0.08,0.0,0.13,0.04,0.11,0.07,0.13,0.16,0.0,0.07,0.01,0.06,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.12,0.1,0.08,0.04,0.12,0.01,0.01,0.27,0.03,0.01,0.01,0.07,0.0,0.0,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.05,0.01,0.01,0.02,0.04,0.02,0.02,0.01,0.0,0.03,0.03,0.01,0.01,0.0,0.0,0.04,0.01,0.04,0.02,0.02,0.08,0.0,0.03,0.03,0.0,0.05,0.0,0.01,0.06,0.0,0.0,0.01,0.0,0.08,0.08,0.01,0.01,0.0,0.03,0.01,0.0,0.02,0.02,0.06,0.0,0.01,0.0,0.02,0.11,0.03,0.02,0.0,0.01,0.06,0.08,0.0,0.05,0.02,0.0,0.03,0.01,0.03,0.01,0.0,0.06,0.01,0.06,0.01,0.08,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.04,0.03,0.01,0.02,0.02,0.1,0.01
502,0.04,0.01,0.32,0.17,0.04,0.02,0.02,0.06,0.02,0.03,0.09,0.14,0.08,0.03,0.08,0.06,0.03,0.0,0.04,0.1,0.04,0.01,0.07,0.02,0.03,0.02,0.01,0.03,0.08,0.03,0.03,0.01,0.06,0.0,0.0,0.08,0.06,0.32,0.0,0.19,0.0,0.02,0.02,0.08,0.13,0.08,0.0,0.12,0.03,0.09,0.05,0.1,0.11,0.0,0.08,0.01,0.04,0.0,0.01,0.01,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.23,0.24,0.07,0.08,0.23,0.02,0.04,0.43,0.05,0.02,0.01,0.05,0.0,0.01,0.0,0.01,0.04,0.02,0.01,0.01,0.0,0.1,0.03,0.01,0.02,0.07,0.03,0.02,0.01,0.0,0.04,0.04,0.01,0.01,0.0,0.0,0.07,0.03,0.07,0.04,0.03,0.15,0.0,0.06,0.01,0.0,0.04,0.0,0.02,0.11,0.0,0.0,0.01,0.0,0.18,0.16,0.02,0.01,0.0,0.05,0.01,0.01,0.02,0.01,0.12,0.01,0.01,0.0,0.02,0.27,0.06,0.03,0.0,0.02,0.16,0.15,0.02,0.1,0.03,0.0,0.08,0.02,0.05,0.01,0.0,0.11,0.01,0.11,0.02,0.06,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03,0.07,0.06,0.02,0.03,0.03,0.19,0.01
504,0.51,0.47,0.18,1.34,0.09,0.14,0.15,0.46,0.19,0.26,0.76,3.25,0.4,0.39,1.2,0.56,0.21,0.02,0.34,0.81,0.32,0.05,0.47,0.28,0.32,0.18,0.06,0.3,0.75,0.23,0.29,0.13,0.43,0.01,0.01,0.75,0.64,3.18,0.01,1.86,0.01,0.18,0.16,0.65,0.58,0.77,0.01,0.64,0.26,0.72,0.44,0.84,0.9,0.02,0.68,0.08,0.35,0.01,0.01,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.23,0.0,0.54,0.08,0.2,0.02,0.0,0.46,0.06,0.02,0.01,0.42,0.0,0.0,0.0,0.01,0.31,0.2,0.0,0.0,0.0,0.09,0.0,0.01,0.15,0.07,0.24,0.19,0.01,0.01,0.33,0.34,0.09,0.04,0.0,0.0,0.07,0.03,0.07,0.04,0.04,0.16,0.0,0.07,0.07,0.0,0.29,0.03,0.02,0.12,0.0,0.0,0.01,0.01,0.04,0.15,0.02,0.08,0.0,0.06,0.01,0.01,0.16,0.1,0.13,0.01,0.01,0.0,0.14,0.0,0.06,0.03,0.0,0.03,0.0,0.12,0.0,0.08,0.03,0.0,0.0,0.02,0.05,0.05,0.0,0.11,0.01,0.12,0.02,0.49,0.08,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03,0.08,0.06,0.02,0.03,0.03,0.2,0.02
505,0.29,0.21,1.54,0.19,0.1,0.1,0.09,0.17,0.11,0.15,0.48,1.7,0.42,0.24,0.46,0.33,0.12,0.01,0.16,0.75,0.18,0.03,0.27,0.17,0.19,0.11,0.04,0.18,0.44,0.16,0.21,0.07,0.21,0.01,0.01,0.45,0.38,1.87,0.01,1.09,0.01,0.1,0.09,0.36,0.53,0.45,0.0,0.53,0.14,0.39,0.21,0.46,0.49,0.01,0.42,0.05,0.19,0.0,0.03,0.0,0.06,0.0,0.03,0.05,0.0,0.0,0.01,0.59,0.53,0.31,0.19,0.58,0.04,0.04,1.1,0.14,0.06,0.03,0.23,0.0,0.01,0.0,0.03,0.15,0.12,0.0,0.02,0.0,0.25,0.07,0.03,0.08,0.18,0.15,0.12,0.03,0.01,0.2,0.21,0.05,0.02,0.0,0.0,0.17,0.07,0.17,0.1,0.09,0.38,0.0,0.16,0.17,0.0,0.16,0.02,0.05,0.29,0.0,0.01,0.03,0.01,0.43,0.4,0.06,0.05,0.01,0.14,0.03,0.02,0.09,0.06,0.3,0.02,0.02,0.0,0.14,0.59,0.14,0.08,0.01,0.06,0.35,0.39,0.01,0.26,0.08,0.01,0.17,0.04,0.13,0.03,0.01,0.28,0.03,0.3,0.06,0.24,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07,0.19,0.14,0.04,0.08,0.08,0.48,0.04
506,0.05,0.05,0.19,0.19,0.0,0.01,0.01,0.04,0.02,0.03,0.07,0.19,0.04,0.04,0.12,0.06,0.02,0.0,0.03,0.08,0.03,0.01,0.06,0.03,0.05,0.02,0.01,0.03,0.08,0.03,0.03,0.01,0.04,0.0,0.0,0.07,0.06,0.37,0.0,0.19,0.0,0.02,0.02,0.06,0.04,0.08,0.0,0.05,0.03,0.07,0.04,0.08,0.09,0.0,0.06,0.01,0.03,0.0,0.01,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.15,0.16,0.05,0.05,0.15,0.01,0.02,0.28,0.01,0.02,0.01,0.04,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.01,0.0,0.06,0.02,0.01,0.01,0.05,0.03,0.02,0.01,0.0,0.04,0.04,0.01,0.0,0.0,0.0,0.04,0.02,0.04,0.02,0.02,0.1,0.0,0.04,0.04,0.0,0.03,0.0,0.01,0.07,0.0,0.0,0.01,0.0,0.12,0.05,0.01,0.01,0.0,0.03,0.01,0.01,0.02,0.01,0.08,0.0,0.01,0.0,0.01,0.18,0.04,0.02,0.0,0.02,0.11,0.09,0.01,0.07,0.02,0.0,0.05,0.01,0.03,0.01,0.0,0.07,0.01,0.08,0.01,0.05,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02,0.05,0.04,0.01,0.02,0.02,0.12,0.01
509,0.03,0.01,0.11,0.1,0.01,0.0,0.01,0.01,0.01,0.01,0.04,0.1,0.02,0.02,0.06,0.03,0.01,0.0,0.02,0.04,0.02,0.0,0.03,0.01,0.03,0.01,0.0,0.02,0.04,0.01,0.01,0.01,0.02,0.0,0.0,0.04,0.03,0.19,0.0,0.1,0.0,0.01,0.01,0.03,0.03,0.04,0.0,0.04,0.01,0.03,0.02,0.04,0.04,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.01,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.03,0.0
511,0.01,0.02,0.09,0.09,0.01,0.01,0.0,0.02,0.01,0.02,0.01,0.15,0.01,0.01,0.03,0.03,0.02,0.0,0.02,0.05,0.01,0.0,0.03,0.01,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.0,0.02,0.0,0.0,0.03,0.02,0.13,0.0,0.05,0.0,0.01,0.01,0.05,0.02,0.02,0.0,0.04,0.02,0.04,0.03,0.05,0.06,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.12,0.13,0.01,0.04,0.12,0.01,0.01,0.23,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.0,0.05,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.02,0.02,0.08,0.0,0.03,0.03,0.0,0.02,0.0,0.01,0.06,0.0,0.0,0.01,0.02,0.1,0.08,0.01,0.0,0.0,0.03,0.01,0.0,0.01,0.01,0.06,0.0,0.01,0.0,0.01,0.15,0.03,0.02,0.0,0.01,0.09,0.07,0.0,0.06,0.0,0.0,0.04,0.01,0.03,0.0,0.0,0.06,0.01,0.06,0.01,0.03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.04,0.03,0.01,0.02,0.02,0.1,0.01
512,0.07,0.05,0.42,0.2,0.05,0.01,0.02,0.01,0.02,0.06,0.09,0.33,0.1,0.04,0.19,0.15,0.06,0.0,0.07,0.17,0.04,0.01,0.06,0.02,0.04,0.02,0.01,0.04,0.08,0.03,0.03,0.02,0.06,0.0,0.0,0.11,0.09,0.43,0.0,0.25,0.0,0.06,0.05,0.17,0.16,0.11,0.0,0.16,0.06,0.16,0.09,0.16,0.22,0.0,0.09,0.01,0.08,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.16,0.13,0.01,0.06,0.15,0.01,0.01,0.31,0.04,0.02,0.01,0.09,0.0,0.0,0.0,0.01,0.06,0.02,0.01,0.01,0.0,0.06,0.02,0.01,0.03,0.06,0.04,0.03,0.01,0.0,0.05,0.05,0.01,0.01,0.0,0.0,0.04,0.02,0.04,0.02,0.02,0.09,0.0,0.04,0.04,0.0,0.04,0.01,0.02,0.08,0.0,0.0,0.01,0.02,0.1,0.11,0.02,0.01,0.0,0.01,0.01,0.01,0.03,0.03,0.09,0.0,0.01,0.0,0.03,0.15,0.03,0.01,0.0,0.01,0.09,0.08,0.0,0.09,0.0,0.0,0.03,0.01,0.05,0.01,0.0,0.07,0.01,0.08,0.01,0.1,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.04,0.03,0.01,0.02,0.02,0.11,0.01
513,0.06,0.04,0.34,0.15,0.04,0.01,0.02,0.03,0.0,0.05,0.09,0.25,0.08,0.03,0.15,0.11,0.05,0.0,0.06,0.13,0.03,0.01,0.04,0.02,0.03,0.01,0.0,0.03,0.07,0.02,0.03,0.01,0.05,0.0,0.0,0.09,0.07,0.35,0.0,0.21,0.0,0.03,0.04,0.14,0.14,0.09,0.0,0.07,0.04,0.12,0.07,0.13,0.17,0.0,0.07,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.01,0.02,0.0,0.0,0.07,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.03,0.02,0.0,0.0,0.04,0.04,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.05,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.02,0.02,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.08,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
